experiment,n,seed,method,status,N_DCA,N_E,N_Av,first_escape_dca,q,S,runtime_sec,stages_completed,objective_gap,ref_feas,ref_stationarity,ref_complementarity,ref_shifted_psd
E1,50,0,plain_dca,FIRST_ORDER,39,0,0,,-1.4999999999999991,6.955817012670945e-11,0.0010310410000320001,0,0.9999999999999971,0.0,3.7246567818448726e-15,2.220446049250313e-15,0.0
E1,50,0,post_dca,GREEN_POST,67,1,52,39.0,-2.5,9.013178401570259e-11,0.014144818999966,1,-2.664535259100375e-15,0.0,3.7246567818448726e-15,2.220446049250313e-15,0.0
E1,50,0,cold_cc_dca,GREEN,68,1,32,17.0,-2.499999999272135,5.3957914268989026e-05,0.006762514000001001,1,7.278622149442526e-10,0.0,3.7246567818448726e-15,2.220446049250313e-15,0.0
E1,50,0,persistent_cc_dca,GREEN,68,1,29,17.0,-2.499999999272135,5.3957914268989026e-05,0.0066935400000140005,1,7.278622149442526e-10,0.0,3.7246567818448726e-15,2.220446049250313e-15,0.0
E1,50,1,plain_dca,FIRST_ORDER,39,0,0,,-1.5,6.95421797532526e-11,0.0010167800000990001,0,1.0,4.440892098500626e-16,3.2337434007721143e-15,2.2204460492503123e-15,-8.881784197001252e-16
E1,50,1,post_dca,GREEN_POST,67,1,52,39.0,-2.5,9.01332172895651e-11,0.013915665000013,1,1.77635683940025e-15,4.440892098500626e-16,3.2337434007721143e-15,2.2204460492503123e-15,-8.881784197001252e-16
E1,50,1,cold_cc_dca,GREEN,58,1,32,17.0,-2.499999999008661,6.297108854248137e-05,0.006097433999912001,1,9.913403431482948e-10,4.440892098500626e-16,3.2337434007721143e-15,2.2204460492503123e-15,-8.881784197001252e-16
E1,50,1,persistent_cc_dca,GREEN,58,1,29,17.0,-2.499999999008661,6.297108854248137e-05,0.0060476779999580005,1,9.913403431482948e-10,4.440892098500626e-16,3.2337434007721143e-15,2.2204460492503123e-15,-8.881784197001252e-16
E1,50,2,plain_dca,FIRST_ORDER,39,0,0,,-1.5,6.954473675163711e-11,0.0010224479999570001,0,1.000000000000005,1.1102230246251561e-15,4.7619524424307845e-15,5.5511151231257835e-15,0.0
E1,50,2,post_dca,GREEN_POST,67,1,52,39.0,-2.500000000000001,9.013243078978894e-11,0.013327771000149001,1,4.884981308350689e-15,1.1102230246251561e-15,4.7619524424307845e-15,5.5511151231257835e-15,0.0
E1,50,2,cold_cc_dca,GREEN,50,1,33,17.0,-2.499999998971035,6.415500414120048e-05,0.005834217000028,1,1.028970686434149e-09,1.1102230246251561e-15,4.7619524424307845e-15,5.5511151231257835e-15,0.0
E1,50,2,persistent_cc_dca,GREEN,50,1,29,17.0,-2.499999998971035,6.415500414120048e-05,0.005696288999843001,1,1.028970686434149e-09,1.1102230246251561e-15,4.7619524424307845e-15,5.5511151231257835e-15,0.0
E1,50,3,plain_dca,FIRST_ORDER,39,0,0,,-1.5,6.961333959831924e-11,0.00109779100012,0,0.9999999999999961,0.0,7.293752075091679e-15,2.7755575615628894e-15,-4.440892098500626e-15
E1,50,3,post_dca,GREEN_POST,67,1,52,39.0,-2.5,9.013245259651645e-11,0.013409512999942001,1,-2.664535259100375e-15,0.0,7.293752075091679e-15,2.7755575615628894e-15,-4.440892098500626e-15
E1,50,3,cold_cc_dca,GREEN,47,1,32,17.0,-2.499999999182558,5.718191270487735e-05,0.005963872000165,1,8.174398935523186e-10,0.0,7.293752075091679e-15,2.7755575615628894e-15,-4.440892098500626e-15
