experiment,n,seed,eta,S,threshold,theorem_hypothesis,case,alignment,decrease,predicted_delta,R_dec
E2,200,0,0.0,4.8653047274551295e-15,0.0018518518518510002,True,III-hard,2.1384110434106248e-16,0.000624804733267,1.1574074074074082e-05,53.983128954353504
E2,200,0,1e-06,2.0000000000119617e-06,0.0018518518518480002,True,III-hard,1.000000000212988e-06,0.000624854694218,1.1574074074039372e-05,53.987445580599164
E2,200,0,1e-05,1.999999999905232e-05,0.0018518518514810001,True,III-hard,1.0000000000211781e-05,0.0006253043424270001,1.157407407060187e-05,54.026295201931454
E2,200,0,0.0001,0.00019999999900000001,0.0018518518148140002,True,III-hard,0.0001,0.0006298007910330001,1.1574073726851882e-05,54.41478997769738
E2,200,0,0.0005,0.000999999875,0.001851850925926,True,III-hard,0.0005,0.0006497842606610001,1.1574065393520702e-05,56.14140222718806
E2,200,0,0.0009000000000000001,0.0017999992709990002,0.0018518488518530002,True,III-hard,0.0009000000000000001,0.000669766483274,1.1574045949096881e-05,57.86796477397088
E2,200,1,0.0,5.026723432636166e-15,0.0018518518518510002,True,III-hard,8.624106277027289e-16,0.000624804733267,1.1574074074074023e-05,53.98312895427701
E2,200,1,1e-06,2.000000000349199e-06,0.0018518518518480002,True,III-hard,9.999999991207575e-07,0.000624854694216,1.1574074074039301e-05,53.98744558048439
E2,200,1,1e-05,1.9999999999373912e-05,0.0018518518514810001,True,III-hard,9.99999999912453e-06,0.0006253043424250001,1.1574074070601782e-05,54.0262952017784
E2,200,1,0.0001,0.00019999999900000001,0.0018518518148140002,True,III-hard,9.999999999910753e-05,0.0006298007910300001,1.157407372685181e-05,54.4147899774867
E2,200,1,0.0005,0.000999999875,0.001851850925926,True,III-hard,0.000499999999999,0.00064978426066,1.157406539352063e-05,56.14140222711167
E2,200,1,0.0009000000000000001,0.001799999271,0.0018518488518530002,True,III-hard,0.0008999999999990001,0.0006697664832730001,1.1574045949096802e-05,57.86796477383697
E2,200,2,0.0,5.837493033893117e-15,0.0018518518518510002,True,III-hard,7.759667296404702e-16,0.0006248047332660001,1.157407407407404e-05,53.983128954257765
E2,200,2,1e-06,2.0000000034364863e-06,0.0018518518518480002,True,III-hard,1.000000000785012e-06,0.000624854694216,1.1574074074039332e-05,53.98744558048425
