experiment,n,seed,cold_N_Av,persistent_N_Av,R_Av,cold_N_DCA,persistent_N_DCA,cold_N_E,persistent_N_E,cold_status,persistent_status,cold_runtime,persistent_runtime
E3,100,0,288,100,2.88,85,85,1,1,GREEN,GREEN,0.13798019800015002,0.08534174500005001
E3,100,1,292,100,2.92,94,94,1,1,GREEN,GREEN,0.167613672000015,0.094463087000121
E3,100,2,288,100,2.88,88,88,1,1,GREEN,GREEN,0.144044831999963,0.10150125699988101
E3,100,3,290,100,2.9,85,85,1,1,GREEN,GREEN,0.178575707999925,0.09348733999991
E3,100,4,288,100,2.88,79,79,1,1,GREEN,GREEN,0.16943362400002102,0.09756056700007301
E3,100,5,290,100,2.9,79,79,1,1,GREEN,GREEN,0.13862783299987302,0.09352831899991501
E3,100,6,288,100,2.88,73,73,1,1,GREEN,GREEN,0.17153600599999602,0.09052820500005501
E3,100,7,288,100,2.88,77,77,1,1,GREEN,GREEN,0.14192602399998502,0.08958815100004301
E3,100,8,291,100,2.91,97,97,1,1,GREEN,GREEN,0.16673115699995802,0.065914380000094
E3,100,9,288,100,2.88,85,85,1,1,GREEN,GREEN,0.16401846499979902,0.09441608600013701
E3,100,10,288,100,2.88,83,83,1,1,GREEN,GREEN,0.165717792999885,0.07329576600000101
E3,100,11,288,100,2.88,81,81,1,1,GREEN,GREEN,0.16470472800006,0.10177206999992401
E3,100,12,288,100,2.88,77,77,1,1,GREEN,GREEN,0.17893445400000002,0.102539408999973
E3,100,13,288,100,2.88,80,80,1,1,GREEN,GREEN,0.19908039300003103,0.09753445799992701
E3,100,14,288,100,2.88,73,73,1,1,GREEN,GREEN,0.176882702999819,0.109396851000155
E3,100,15,288,100,2.88,68,68,1,1,GREEN,GREEN,0.19714386900000103,0.10593283500020301
E3,100,16,288,100,2.88,93,93,1,1,GREEN,GREEN,0.19788970999979902,0.11668766799994001
E3,100,17,291,100,2.91,87,87,1,1,GREEN,GREEN,0.185570234000124,0.110272986000154
E3,100,18,288,100,2.88,84,84,1,1,GREEN,GREEN,0.18988992399999902,0.11973799199995401
E3,100,19,288,100,2.88,85,85,1,1,GREEN,GREEN,0.17486420500017602,0.09404634000020401
E3,200,0,319,123,2.593495934959349,81,81,1,1,GREEN,GREEN,0.275854390999938,0.164111264999974
E3,200,1,320,123,2.601626016260162,69,69,1,1,GREEN,GREEN,0.265743834000204,0.20426003600005002
E3,200,2,319,123,2.593495934959349,80,80,1,1,GREEN,GREEN,0.294592899000235,0.17696728900000303
E3,200,3,319,123,2.593495934959349,83,83,1,1,GREEN,GREEN,0.28939534199980704,0.161142947999906
E3,200,4,319,123,2.593495934959349,84,84,1,1,GREEN,GREEN,0.28569277699989404,0.191502049000064
E3,200,5,319,123,2.593495934959349,72,72,1,1,GREEN,GREEN,0.280345925000347,0.214175431000057
E3,200,6,319,123,2.593495934959349,77,77,1,1,GREEN,GREEN,0.2742827080001,0.17558594100000802
E3,200,7,319,123,2.593495934959349,73,73,1,1,GREEN,GREEN,0.309933195999747,0.176157009000235
E3,200,8,319,123,2.593495934959349,80,80,1,1,GREEN,GREEN,0.25767251600018404,0.17646757800002802
E3,200,9,319,123,2.593495934959349,80,80,1,1,GREEN,GREEN,0.266457877999982,0.14731472599987602
E3,200,10,322,123,2.617886178861788,92,92,1,1,GREEN,GREEN,0.271629543000017,0.182221320999815
E3,200,11,319,123,2.593495934959349,74,74,1,1,GREEN,GREEN,0.252860201999737,0.177767167999718
E3,200,12,319,123,2.593495934959349,81,81,1,1,GREEN,GREEN,0.26709699999992104,0.2012191660001
E3,200,13,319,123,2.593495934959349,79,79,1,1,GREEN,GREEN,0.24285023199990902,0.19441813899993501
E3,200,14,319,123,2.593495934959349,77,77,1,1,GREEN,GREEN,0.280868167000335,0.21268859999963702
E3,200,15,319,123,2.593495934959349,82,82,1,1,GREEN,GREEN,0.30143843299993,0.19076744700032502
E3,200,16,320,123,2.601626016260162,79,79,1,1,GREEN,GREEN,0.30361991500012603,0.19865899800015502
E3,200,17,319,123,2.593495934959349,63,63,1,1,GREEN,GREEN,0.278761936999671,0.19491394399983603
E3,200,18,321,123,2.6097560975609753,88,88,1,1,GREEN,GREEN,0.28515739900012704,0.20332346599980103
E3,200,19,320,123,2.601626016260162,78,78,1,1,GREEN,GREEN,0.280978672999935,0.195444583999687
E3,400,0,332,128,2.59375,81,81,1,1,GREEN,GREEN,0.42428793599992704,0.29083773599995705
E3,400,1,333,128,2.6015625,77,77,1,1,GREEN,GREEN,0.38330934700024905,0.22668400000020403
E3,400,2,333,128,2.6015625,75,75,1,1,GREEN,GREEN,0.41825226099990603,0.281491839000409
E3,400,3,332,128,2.59375,80,80,1,1,GREEN,GREEN,0.40062224300027005,0.269092937000095
E3,400,4,332,128,2.59375,82,82,1,1,GREEN,GREEN,0.374891859999934,0.22923346500010602
E3,400,5,333,128,2.6015625,79,79,1,1,GREEN,GREEN,0.43459013599976903,0.23658546400019903
E3,400,6,332,128,2.59375,79,79,1,1,GREEN,GREEN,0.391620800000055,0.262346640000032
E3,400,7,333,128,2.6015625,81,81,1,1,GREEN,GREEN,0.39973476600016505,0.247528076999969
E3,400,8,335,128,2.6171875,69,69,1,1,GREEN,GREEN,0.38706326600004104,0.24299452100012703
E3,400,9,332,128,2.59375,77,77,1,1,GREEN,GREEN,0.38833013100020203,0.255477058999986
E3,400,10,332,128,2.59375,88,88,1,1,GREEN,GREEN,0.399145091000264,0.23831171699976003
E3,400,11,335,128,2.6171875,93,93,1,1,GREEN,GREEN,0.395645135999984,0.265030120000119
E3,400,12,333,128,2.6015625,72,72,1,1,GREEN,GREEN,0.403167641999971,0.265866938999806
E3,400,13,336,128,2.625,94,94,1,1,GREEN,GREEN,0.402055303999986,0.27328416500040403
E3,400,14,333,128,2.6015625,82,82,1,1,GREEN,GREEN,0.395345976000044,0.24171508600011202
E3,400,15,332,128,2.59375,82,82,1,1,GREEN,GREEN,0.372104514000056,0.270704791999833
E3,400,16,332,128,2.59375,80,80,1,1,GREEN,GREEN,0.45025516299983703,0.22417968199988503
E3,400,17,332,128,2.59375,80,80,1,1,GREEN,GREEN,0.403205161999721,0.255699787000139
E3,400,18,333,128,2.6015625,62,62,1,1,GREEN,GREEN,0.416074427999774,0.265009213000212
E3,400,19,334,128,2.609375,78,78,1,1,GREEN,GREEN,0.396506474000034,0.24047386199981702
E3,800,0,344,132,2.606060606060606,82,82,1,1,GREEN,GREEN,0.6113903749997001,0.372609791999821
E3,800,1,346,132,2.621212121212121,77,77,1,1,GREEN,GREEN,0.6834028000002941,0.40101424300019
E3,800,2,345,132,2.6136363636363633,73,73,1,1,GREEN,GREEN,0.574307795000095,0.340789593999943
E3,800,3,345,132,2.6136363636363633,78,78,1,1,GREEN,GREEN,0.5847355780001631,0.34387997099975104
E3,800,4,347,132,2.628787878787879,91,91,1,1,GREEN,GREEN,0.5983393299998171,0.35005519400010604
E3,800,5,347,132,2.628787878787879,85,85,1,1,GREEN,GREEN,0.6795750370001771,0.409423617999891
E3,800,6,344,132,2.606060606060606,86,86,1,1,GREEN,GREEN,0.612187368999912,0.42891296200014
E3,800,7,345,132,2.6136363636363633,53,53,1,1,GREEN,GREEN,0.686269206999895,0.377131591000306
E3,800,8,345,132,2.6136363636363633,73,73,1,1,GREEN,GREEN,0.613059889999931,0.40907867999976505
E3,800,9,345,132,2.6136363636363633,82,82,1,1,GREEN,GREEN,0.699190004000229,0.45234228900017104
E3,800,10,345,132,2.6136363636363633,90,90,1,1,GREEN,GREEN,0.6435482339998081,0.407689406999907
E3,800,11,344,132,2.606060606060606,86,86,1,1,GREEN,GREEN,0.6595565640000131,0.41621493599996
E3,800,12,345,132,2.6136363636363633,85,85,1,1,GREEN,GREEN,0.6572383719999381,0.393737963000148
E3,800,13,345,132,2.6136363636363633,86,86,1,1,GREEN,GREEN,0.655169551999733,0.45365176799987206
E3,800,14,345,132,2.6136363636363633,79,79,1,1,GREEN,GREEN,0.65946063399997,0.39922963499975506
