experiment,n,seed,mode,final_delta,method,status,N_DCA,N_E,N_Av,first_escape_dca,q,S,runtime_sec,stages_completed,objective_gap,ref_feas,ref_stationarity,ref_complementarity,ref_shifted_psd
E4,100,0,progressive,0.0625,persistent_cc_dca,GREEN,71,1,100,15,-2.499999999999816,8.567350044969064e-07,0.066349608000109,5,1.84741111297626e-13,2.220446049250313e-16,3.8830434773746475e-15,1.1102230246251561e-15,8.881784197001252e-16
E4,100,0,cold_final,0.0625,persistent_cc_dca,GREEN,82,1,84,24,-2.499999999999768,9.624507691562538e-07,0.044239238000045006,1,2.327027459614328e-13,2.220446049250313e-16,3.8830434773746475e-15,1.1102230246251561e-15,8.881784197001252e-16
E4,100,1,progressive,0.0625,persistent_cc_dca,GREEN,81,1,100,15,-2.499999999999748,1.005075133397639e-06,0.085032943999976,5,2.504663143554353e-13,0.0,3.814369721313888e-15,2.2204460492503123e-15,-8.881784197001252e-16
E4,100,1,cold_final,0.0625,persistent_cc_dca,GREEN,93,1,84,24,-2.499999999999804,8.863194340445001e-07,0.07114517900026801,1,1.9406698470447731e-13,0.0,3.814369721313888e-15,2.2204460492503123e-15,-8.881784197001252e-16
E4,100,2,progressive,0.0625,persistent_cc_dca,GREEN,84,1,100,15,-2.49999999999981,8.703779444933895e-07,0.08804729700023001,5,1.874056465567264e-13,0.0,7.809119446213863e-15,2.2204460492503123e-15,-8.881784197001252e-16
E4,100,2,cold_final,0.0625,persistent_cc_dca,GREEN,95,1,84,24,-2.49999999999976,9.785042507875683e-07,0.043047354999998004,1,2.371436380599334e-13,0.0,7.809119446213863e-15,2.2204460492503123e-15,-8.881784197001252e-16
E4,100,3,progressive,0.0625,persistent_cc_dca,GREEN,90,1,100,15,-2.499999999999787,9.265604504241114e-07,0.091558146999886,5,2.162714451969805e-13,4.440892098500626e-16,3.8866297528369464e-15,2.2204460492503123e-15,-8.881784197001252e-16
E4,100,3,cold_final,0.0625,persistent_cc_dca,GREEN,90,1,84,24,-2.499999999999771,9.576543197955773e-07,0.06931036000014501,1,2.318145675417327e-13,4.440892098500626e-16,3.8866297528369464e-15,2.2204460492503123e-15,-8.881784197001252e-16
E4,100,4,progressive,0.0625,persistent_cc_dca,GREEN,78,1,100,15,-2.49999999999982,8.450950558728102e-07,0.08810512299987701,5,1.829647544582258e-13,6.661338147750939e-16,4.0020813358722446e-15,3.3306690738754704e-15,8.881784197001252e-16
E4,100,4,cold_final,0.0625,persistent_cc_dca,GREEN,89,1,84,24,-2.499999999999775,9.495134717829989e-07,0.042101263999938,1,2.282618538629322e-13,6.661338147750939e-16,4.0020813358722446e-15,3.3306690738754704e-15,8.881784197001252e-16
E4,100,5,progressive,0.0625,persistent_cc_dca,GREEN,76,1,100,15,-2.49999999999979,9.167635691294952e-07,0.089858430999811,5,2.104982854689296e-13,0.0,7.801742526320034e-15,0.0,0.0
E4,100,5,cold_final,0.0625,persistent_cc_dca,GREEN,87,1,84,24,-2.499999999999747,1.008135278702397e-06,0.063546846999997,1,2.540190280342358e-13,0.0,7.801742526320034e-15,0.0,0.0
E4,100,6,progressive,0.0625,persistent_cc_dca,GREEN,75,1,100,15,-2.499999999999763,9.740662794497388e-07,0.134877892999611,5,2.398081733190338e-13,6.661338147750939e-16,5.055586983864428e-15,3.3306690738754696e-15,-8.881784197001252e-16
E4,100,6,cold_final,0.0625,persistent_cc_dca,GREEN,87,1,84,24,-2.499999999999817,8.592039651695115e-07,0.066257187999781,1,1.8607337892717619e-13,6.661338147750939e-16,5.055586983864428e-15,3.3306690738754696e-15,-8.881784197001252e-16
E4,100,7,progressive,0.0625,persistent_cc_dca,GREEN,73,1,100,15,-2.499999999999765,9.73878173384198e-07,0.093027406000146,5,2.322586567515827e-13,0.0,2.9166313679594992e-15,3.3306690738754712e-15,1.77635683940025e-15
E4,100,7,cold_final,0.0625,persistent_cc_dca,GREEN,85,1,84,24,-2.499999999999819,8.537436120908914e-07,0.042639574000077,1,1.7896795156957518e-13,0.0,2.9166313679594992e-15,3.3306690738754712e-15,1.77635683940025e-15
E4,100,8,progressive,0.0625,persistent_cc_dca,GREEN,79,1,100,15,-2.499999999999754,9.883538784809264e-07,0.08708722800020001,5,2.464695114667847e-13,2.220446049250313e-16,2.3832292042540425e-15,1.1102230246251561e-15,-1.77635683940025e-15
E4,100,8,cold_final,0.0625,persistent_cc_dca,GREEN,91,1,84,24,-2.499999999999812,8.660461970081013e-07,0.065168511000138,1,1.887379141862766e-13,2.220446049250313e-16,2.3832292042540425e-15,1.1102230246251561e-15,-1.77635683940025e-15
E4,100,9,progressive,0.0625,persistent_cc_dca,GREEN,73,1,100,15,-2.499999999999747,1.0045158028228288e-06,0.08997518600017401,5,2.55351295663786e-13,6.661338147750939e-16,4.535715864392091e-15,3.3306690738754696e-15,-8.881784197001252e-16
E4,100,9,cold_final,0.0625,persistent_cc_dca,GREEN,79,1,84,24,-2.499999999999745,1.0115096651208758e-06,0.042647595999824005,1,2.580158309228864e-13,6.661338147750939e-16,4.535715864392091e-15,3.3306690738754696e-15,-8.881784197001252e-16
