experiment,axis,value,n,seed,negfrac,bscale,method,status,N_DCA,N_E,N_Av,first_escape_dca,q,S,runtime_sec,stages_completed,objective_gap,ref_feas,ref_stationarity,ref_complementarity,ref_shifted_psd
E5,gap,0.1,200,0,,,persistent_cc_dca,GREEN,1655,1,123,16.0,-2.499999999994931,1.0066932710424159e-06,0.223112246000255,5,,,,,
E5,gap,0.25,200,0,,,persistent_cc_dca,GREEN,669,1,123,15.0,-2.499999999997977,1.005489265490529e-06,0.202107607000016,5,,,,,
E5,gap,0.5,200,0,,,persistent_cc_dca,GREEN,340,1,123,14.0,-2.4999999999990052,9.973023914081704e-07,0.21347316199990002,5,,,,,
E5,gap,1.0,200,0,,,persistent_cc_dca,GREEN,159,1,123,13.0,-2.4999999999995293,9.671265200059124e-07,0.19978337800012003,5,,,,,
E5,gap,2.0,200,0,,,persistent_cc_dca,GREEN,73,1,123,15.0,-2.499999999999773,9.521749163367779e-07,0.17977222300032702,5,,,,,
E5,multiplicity,1.0,200,0,,,persistent_cc_dca,GREEN,73,1,123,15.0,-2.499999999999773,9.521749163367779e-07,0.21880568100004802,5,,,,,
E5,multiplicity,2.0,200,0,,,persistent_cc_dca,GREEN,73,1,123,15.0,-2.499999999999818,8.562506368380089e-07,0.16355022499965302,5,,,,,
E5,multiplicity,4.0,200,0,,,persistent_cc_dca,GREEN,95,1,123,15.0,-2.499999999999817,8.544407893432513e-07,0.183267047999834,5,,,,,
E5,multiplicity,8.0,200,0,,,persistent_cc_dca,GREEN,86,1,123,15.0,-2.499999999999842,7.941676106826371e-07,0.18744558100024702,5,,,,,
E5,multiplicity,16.0,200,0,,,persistent_cc_dca,GREEN,84,1,123,14.0,-2.499999999999795,9.021277419293484e-07,0.206589015999725,5,,,,,
E5,extra_negative,0.0,200,0,,,persistent_cc_dca,GREEN,73,1,123,15.0,-2.499999999999773,9.521749163367779e-07,0.18413731600003302,5,,,,,
E5,extra_negative,2.0,200,0,,,persistent_cc_dca,GREEN,80,1,123,15.0,-2.499999999999746,1.0063930557197348e-06,0.174950029999763,5,,,,,
E5,extra_negative,5.0,200,0,,,persistent_cc_dca,GREEN,82,1,123,15.0,-2.4999999999997833,9.29395949061168e-07,0.17940044199986002,5,,,,,
E5,extra_negative,10.0,200,0,,,persistent_cc_dca,GREEN,83,1,123,14.0,-2.499999999999827,8.278960862860609e-07,0.146507248000034,5,,,,,
E5,extra_negative,20.0,200,0,,,persistent_cc_dca,GREEN,86,1,123,13.0,-2.499999999999787,9.196409803851649e-07,0.16982982499985103,5,,,,,
E5,dimension,100.0,100,0,,,persistent_cc_dca,GREEN,80,1,100,15.0,-2.499999999999841,7.967559616418347e-07,0.091456367999853,5,,,,,
E5,dimension,200.0,200,0,,,persistent_cc_dca,GREEN,73,1,123,15.0,-2.499999999999773,9.521749163367779e-07,0.307562211000004,5,,,,,
E5,dimension,400.0,400,0,,,persistent_cc_dca,GREEN,84,1,128,15.0,-2.499999999999837,8.039437466947621e-07,0.298831707000317,5,,,,,
E5,dimension,800.0,800,0,,,persistent_cc_dca,GREEN,83,1,132,15.0,-2.499999999999755,9.917948158039996e-07,0.7696767420002281,5,,,,,
