,,N_DCA,N_DCA,N_DCA,N_E,N_E,N_E,N_Av,N_Av,N_Av,objective_gap,objective_gap,objective_gap
,,median,mean,std,median,mean,std,median,mean,std,median,mean,std
n,mode,,,,,,,,,,,,
100,cold_final,88.5,88.25,5.811739480523337,1.0,1.0,0.0,84.0,84.0,0.0,2.282618538629322e-13,2.1622703627599548e-13,2.7976284582026414e-14
100,progressive,77.5,77.5,6.5252545826520105,1.0,1.0,0.0,100.0,100.0,0.0,1.98951966012828e-13,2.0683454948766661e-13,3.163300023453608e-14
200,cold_final,92.5,91.15,7.12501154200358,1.0,1.0,0.0,88.0,88.0,0.0,2.1582735598713043e-13,2.1092017021828723e-13,2.776234364494017e-14
200,progressive,80.5,78.9,8.521798673494873,1.0,1.0,0.0,123.0,123.0,0.0,2.073896609999792e-13,2.0932144906282702e-13,2.7153651352550817e-14
400,cold_final,90.0,89.9,7.62889244910426,1.0,1.0,0.0,92.0,92.0,0.0,2.1405099914773016e-13,2.1673773886732306e-13,2.8521408985650065e-14
400,progressive,83.0,82.0,6.7900856517347945,1.0,1.0,0.0,128.0,128.0,0.0,1.9384494009955228e-13,1.9975132659055812e-13,3.051557759275401e-14
800,cold_final,90.5,90.3,7.406256245833474,1.0,1.0,0.0,97.0,97.0,0.0,2.1871393585115581e-13,2.1880275369312582e-13,2.1976146748806008e-14
800,progressive,80.5,79.45,8.003124389886741,1.0,1.0,0.0,132.0,132.0,0.0,1.8496315590255108e-13,1.937117133365973e-13,2.6405320276960138e-14
