,,,N_DCA,N_DCA,N_DCA,N_E,N_E,N_E,N_Av,N_Av,N_Av,objective_gap,objective_gap,objective_gap
,,,median,mean,std,median,mean,std,median,mean,std,median,mean,std
n,negfrac,bscale,,,,,,,,,,,,
100,0.1,0.1,222.0,222.9,28.846052361494902,0.0,0.0,0.0,100.0,100.0,0.0,1.1119993814645564e-12,0.007658868506256074,0.012423802695112415
100,0.1,0.5,227.0,252.45,74.58550374182006,0.0,0.2,0.4103913408340617,100.0,100.0,0.0,7.283063041541027e-13,0.00363830158846526,0.010626870041431256
100,0.25,0.1,564.0,557.3,77.47604043899806,0.0,0.0,0.0,100.0,100.0,0.0,2.384537012289911e-12,0.007640976241567147,0.012392945293349061
100,0.25,0.5,496.5,604.35,262.3204699358561,0.0,0.1,0.30779350562554625,100.0,100.0,0.0,1.782352043733226e-12,0.0013457080021083766,0.004289577863323977
200,0.1,0.1,441.5,449.3,40.47234273322696,0.0,0.0,0.0,123.0,123.0,0.0,0.003080169563656,0.006561078908662338,0.008467245028831612
200,0.1,0.5,449.0,487.5,128.63432463259647,0.0,0.05,0.22360679774997896,123.0,123.0,0.0,0.0019505349948993004,0.017196582401603558,0.025285717239054928
200,0.25,0.1,1084.0,1096.95,127.57184766158032,0.0,0.0,0.0,123.0,123.0,0.0,0.0010547249733479998,0.005434578130456857,0.007708826493898548
200,0.25,0.5,1080.0,1246.85,503.9914655710165,0.0,0.0,0.0,123.0,123.0,0.0,8.804734719092266e-12,0.009397477900350107,0.016143556006457484
400,0.1,0.1,889.5,917.75,105.88766391049076,0.0,0.0,0.0,128.0,128.0,0.0,4.21818135976082e-12,0.003542356878104419,0.0062343987521323516
400,0.1,0.5,856.5,932.05,345.600693682296,0.0,0.05,0.22360679774997896,128.0,128.0,0.0,3.3597569171206487e-12,0.0033683668030682137,0.008479475747726471
400,0.25,0.1,2076.0,2189.7,509.8038941851226,0.0,0.0,0.0,128.0,128.0,0.0,1.037925301261566e-11,0.0026500251444901957,0.005308226283816519
400,0.25,0.5,1912.5,1949.15,896.3210934880306,0.0,0.0,0.0,128.0,128.0,0.0,7.2453154587037716e-12,8.103806514725419e-12,1.6418022882843808e-11
