,,N_DCA,N_DCA,N_DCA,N_E,N_E,N_E,N_Av,N_Av,N_Av
,,median,mean,std,median,mean,std,median,mean,std
axis,value,,,,,,,,,
dimension,100.0,83.0,82.0,4.180153610876795,1.0,1.0,0.0,100.0,100.0,0.0
dimension,200.0,83.0,79.95,8.457167623414254,1.0,1.0,0.0,123.0,123.0,0.0
dimension,400.0,82.5,80.75,6.687576856420143,1.0,1.0,0.0,128.0,128.0,0.0
dimension,800.0,80.5,79.45,5.491380806126518,1.0,1.0,0.0,132.0,132.0,0.0
extra_negative,0.0,83.0,79.95,8.457167623414254,1.0,1.0,0.0,123.0,123.0,0.0
extra_negative,2.0,80.0,81.05,6.065215750924545,1.0,1.0,0.0,123.0,123.0,0.0
extra_negative,5.0,82.0,82.5,5.365582324800405,1.0,1.0,0.0,123.0,123.0,0.0
extra_negative,10.0,81.5,82.25,5.92829965859565,1.0,1.0,0.0,123.0,123.0,0.0
extra_negative,20.0,82.5,83.45,5.567528035048647,1.0,1.0,0.0,123.0,123.0,0.0
gap,0.1,1655.0,1655.0,0.0,1.0,1.0,0.0,123.0,123.0,0.0
gap,0.25,669.0,668.95,0.22360679774997383,1.0,1.0,0.0,123.0,123.0,0.0
gap,0.5,340.0,339.95,0.22360679774997924,1.0,1.0,0.0,123.0,123.0,0.0
gap,1.0,160.5,161.1,12.392272634695848,1.0,1.0,0.0,123.0,123.0,0.0
gap,2.0,83.0,79.95,8.457167623414254,1.0,1.0,0.0,123.0,123.0,0.0
multiplicity,1.0,83.0,79.95,8.457167623414254,1.0,1.0,0.0,123.0,123.0,0.0
multiplicity,2.0,80.0,80.8,5.297467120684833,1.0,1.0,0.0,123.0,123.0,0.0
multiplicity,4.0,83.0,82.55,7.430201527337065,1.0,1.0,0.0,123.0,123.0,0.0
multiplicity,8.0,86.0,86.85,4.749238166053028,1.0,1.0,0.0,123.0,123.0,0.0
multiplicity,16.0,84.0,84.5,3.993415633396132,1.0,1.0,0.0,123.0,123.0,0.0
